Catégorie,Domaine,Metiers,Competences,Competence_Count,Cluster,PCA1,PCA2
M14 - Organisation et études (4),M1404 - Management et gestion d'enquêtes,Assistant / Assistante d'enquêtes terrain;Chargé / Chargée de terrain - management et gestion d'enquêtes;Directeur / Directrice d'enquêtes terrain;Responsable d'enquêtes terrain,moyens matériels humains financiers nécessaires mise place enquête sondage enquêteurs selon zone géographique enquête dossier enquêteurs éléments consignes questionnaires grilles public objectifs contexte étude enquêteurs leur consignes charge activité répartition enquêteurs selon avancée enquête déroulement enquête mesures correctives éléments activité enquêteurs données service comptabilité facturation Techniques planification Tableaux bord Techniques pédagogiques Techniques animation équipe Techniques Comptage Utilisation outils bureautiques traitement texte tableur appui technique chargés études public cible élaboration devis opérationnalité questionnaires grilles avant lancement enquête remarques pistes amélioration Planifier distribution dossiers supports enquêtes enquêteurs acheminement enquêteurs lieu investigation Techniques commerciales Pratique enquête moyens matériels humains financiers nécessaires mise place enquête sondage enquêteurs selon zone géographique enquête dossier enquêteurs éléments consignes questionnaires grilles public objectifs contexte étude enquêteurs leur consignes charge activité répartition enquêteurs selon avancée enquête déroulement enquête mesures correctives éléments activité enquêteurs données service comptabilité facturation Techniques planification Tableaux bord Techniques pédagogiques Techniques animation équipe Techniques Comptage Utilisation outils bureautiques traitement texte tableur appui technique chargés études public cible élaboration devis opérationnalité questionnaires grilles avant lancement enquête remarques pistes amélioration Planifier distribution dossiers supports enquêtes enquêteurs acheminement enquêteurs lieu investigation Techniques commerciales Pratique enquête D1408 Téléconseil télévente M1403 Études prospectives socio économiques M1704 Management relation,43,3,-0.03196810183452694,0.07832028197965273
M15 - Ressources humaines (3),M1501 - Assistanat en ressources humaines,Assistant / Assistante de gestion du personnel;Assistant / Assistante de gestion en ressources humaines;Assistant / Assistante de service formation;Assistant / Assistante du service personnel;Assistant / Assistante emploi formation;Assistant / Assistante ressources humaines;Assistant/Assistante de gestion administrative du personnel;Chargé / Chargée de la gestion administrative du personnel;Gestionnaire administratif(ve) ressources humaines;Gestionnaire de l'administration du personnel;Gestionnaire paie et administration du personnel;Secrétaire du service personnel,Suivre jour dossiers individuels salariés déclarations réglementaires besoins formation personnel synthèse supports suivi gestion ressources humaines tableaux bord sociaux grilles salaires plannings congés Renseigner personnel législation sociale spécificités structure place élections représentants personnel Suivre traitement mesures disciplinaires relations instances légales Inspection travail Conseil prud hommes nouveaux salariés leur intégration structure Eléments base gestion Ressources Humaines Législation sociale Normes rédactionnelles Utilisation outils bureautiques traitement texte tableur Saisir éléments paies primes indemnités traitements mensuels retenues bulletins salaires suivi administratif opérations gestion ressources humaines Formation convocation stagiaires location salles Effectuer suivi administratif opérations gestion ressources humaines Mobilité interne reclassement suivi administratif opérations gestion ressources humaines Recrutement CV réponse candidature Effectuer suivi administratif opérations gestion ressources humaines Retraite prévoyance Suivre contrats externalisation services formation activité équipe Techniques animation équipe Utilisation logiciel paie Suivre jour dossiers individuels salariés déclarations réglementaires besoins formation personnel synthèse supports suivi gestion ressources humaines tableaux bord sociaux grilles salaires plannings congés Renseigner personnel législation sociale spécificités structure place élections représentants personnel Suivre traitement mesures disciplinaires relations instances légales Inspection travail Conseil prud hommes nouveaux salariés leur intégration structure Eléments base gestion Ressources Humaines Législation sociale Normes rédactionnelles Utilisation outils bureautiques traitement texte tableur Saisir éléments paies primes indemnités traitements mensuels retenues bulletins salaires suivi administratif opérations gestion ressources humaines Formation convocation stagiaires location salles Effectuer suivi administratif opérations gestion ressources humaines Mobilité interne reclassement suivi administratif opérations gestion ressources humaines Recrutement CV réponse candidature Effectuer suivi administratif opérations gestion ressources humaines Retraite prévoyance Suivre contrats externalisation services formation activité équipe Techniques animation équipe Utilisation logiciel paie M1604 Assistanat direction K1801 Conseil emploi insertion professionnelle K2102 Coordination pédagogique Formation professionnelle Formation professionnelle M1203 Comptabilité M1502 Développement ressources humaines M1503 Management ressources humaines,48,0,-0.24477819799442166,0.006945575670409539
M15 - Ressources humaines (3),M1502 - Développement des ressources humaines,"Chargé / Chargée  des compétences et de la mobilité professionnelle;Chargé / Chargée de formation en entreprise;Chargé / Chargée de l'emploi et des compétences;Chargé / Chargée de recrutement;Chargé / Chargée de recrutement et mobilité professionnelle;Chargé / Chargée des relations écoles;Chargé / Chargée du développement des ressources humaines;Chasseur / Chasseuse de tête en recrutement;Chef de service formation;Coach en développement des compétences;Conseiller / Conseillère en développement des carrières;Conseiller / Conseillère en formation en entreprise;Conseiller / Conseillère en gestion des carrières;Conseiller / Conseillère en recrutement;Consultant / Consultante en gestion des carrières;Consultant / Consultante en gestion des ressources humaines;Consultant / Consultante en recrutement;Directeur / Directrice de service formation en entreprise;Gestionnaire des carrières;Responsable de gestion des effectifs, emplois et compétences;Responsable de gestion prévisionnelle emplois et compétences;Responsable de la gestion de l'emploi et des carrières;Responsable de la gestion des cadres;Responsable du développement des compétences;Responsable du développement des ressources humaines;Responsable du recrutement et mobilité professionnelle;Responsable emploi et communication interne;Responsable emploi et formation;Responsable formation communication en entreprise;Responsable formation en entreprise;Responsable formation professionnelle en entreprise;Responsable formation recrutement de l'entreprise;Responsable gestion des carrières et affaires sociales;Responsable recrutement",besoins entreprise formation recrutement mobilité professionnelle Déterminer budget nécessaire mise oeuvre politique management développement compétences structure Elaborer oeuvre plans développement compétences gestion emploi mobilité professionnelle Organiser suivi administratif opérations formation recrutement Conseiller personnes services entreprises analyse besoins développement ressources humaines management emplois compétences salariés représentants personnel Législation formation Droit travail Gestion prévisionnelle emplois compétences GPEC Ingénierie formation Gestion Ressources Humaines Techniques communication Gestion budgétaire Techniques commerciales Techniques conduite entretien Utilisation outils bureautiques traitement texte tableur documents ressources humaines Etudes prévisionnelles emplois ressources humaines documents ressources humaines Profils postes annonces documents ressources humaines Référentiel formations documents ressources humaines Répertoire métiers compétences documents ressources humaines Statistiques postes métiers compétences documents ressources humaines Supports information communication actions sourcing candidats CVthèques sites emploi réseaux sociaux annuaires professionnels Rechercher candidats relation recruteurs Sélectionner prestataires service formation coaching modalités intervention politique diversité prévention discriminations maintien emploi personnes processus méthodes outils gestion ressources humaines modules formation actions formation partenariat écoles universités professionnels actions promotion mesures salariales promotionnelles mutation prime mise place système information interne gestion ressources humaines espace RH intranet Suivre variations masse salariale résultats comptables financiers écarts place actions correctives Coordonner activité équipe structure Méthodes investigation Procédures appel offres Techniques Ingénierie pédagogique Techniques Gestion financière Animation formation besoins entreprise formation recrutement mobilité professionnelle Déterminer budget nécessaire mise oeuvre politique management développement compétences structure Elaborer oeuvre plans développement compétences gestion emploi mobilité professionnelle Organiser suivi administratif opérations formation recrutement Conseiller personnes services entreprises analyse besoins développement ressources humaines management emplois compétences salariés représentants personnel Législation formation Droit travail Gestion prévisionnelle emplois compétences GPEC Ingénierie formation Gestion Ressources Humaines Techniques communication Gestion budgétaire Techniques commerciales Techniques conduite entretien Utilisation outils bureautiques traitement texte tableur documents ressources humaines Etudes prévisionnelles emplois ressources humaines documents ressources humaines Profils postes annonces documents ressources humaines Référentiel formations documents ressources humaines Répertoire métiers compétences documents ressources humaines Statistiques postes métiers compétences documents ressources humaines Supports information communication actions sourcing candidats CVthèques sites emploi réseaux sociaux annuaires professionnels Rechercher candidats relation recruteurs Sélectionner prestataires service formation coaching modalités intervention politique diversité prévention discriminations maintien emploi personnes processus méthodes outils gestion ressources humaines modules formation actions formation partenariat écoles universités professionnels actions promotion mesures salariales promotionnelles mutation prime mise place système information interne gestion ressources humaines espace RH intranet Suivre variations masse salariale résultats comptables financiers écarts place actions correctives Coordonner activité équipe structure Méthodes investigation Procédures appel offres Techniques Ingénierie pédagogique Techniques Gestion financière Animation formation Conseil emploi insertion professionnelle K2101 Conseil formation K2102 Coordination pédagogique Formation professionnelle M1302 Direction petite moyenne entreprise Conseil organisation management entreprise M1503 Management ressources humaines,87,0,-0.12946179826991394,-0.13938988167015304
M15 - Ressources humaines (3),M1503 - Management des ressources humaines,Chef du personnel;Chef du service du personnel;Coordinateur / Coordinatrice ressources humaines;Directeur / Directrice des Ressources Humaines -DRH-;Directeur / Directrice du personnel;Gestionnaire Paie;Responsable administratif / administrative du personnel;Responsable de l'administration du personnel;Responsable de la gestion des Ressources Humaines;Responsable de la gestion du personnel;Responsable des relations du travail;Responsable des relations sociales;Responsable des Ressources Humaines -RRH-;Responsable du personnel;Responsable paie;Responsable paie et administration du personnel;Responsable rémunérations,politique management ressources humaines selon orientations stratégiques structure plans action Concevoir opérations gestion emplois compétences concertation dialogue social membres personnel leurs représentants conformité application obligations légales réglementaires place actions gestion administrative personnel procédures supports suivi gestion personnel structure Suivre jour informations professionnelles réglementaires Droit travail Législation sociale Gestion prévisionnelle emplois compétences GPEC Ingénierie formation Gestion Ressources Humaines Techniques management Techniques dialogue social Techniques Techniques conduite entretien Utilisation outils bureautiques traitement texte tableur Contrôler opérations gestion ressources humaines Constitution gestion fichier personnel Contrôler opérations gestion ressources humaines Déclarations obligatoires règlement cotisations sociales opérations gestion ressources humaines Gestion administrative temps travail Contrôler opérations gestion ressources humaines Gestion paie opérations gestion ressources humaines Gestion carrières Contrôler opérations gestion ressources humaines Gestion dossiers individuels salariés congés médecine travail départ retraite actions Ressources Humaines Administration personnel actions Ressources Humaines Conditions travail actions Ressources Humaines Conduite changement actions Ressources Humaines Démarche qualité actions Ressources Humaines Evolution système information RH actions Ressources Humaines Formation actions Ressources Humaines Mobilité actions Ressources Humaines Organisation relations sociales actions Ressources Humaines Rémunération actions Ressources Humaines Recrutement Bilans sociaux Enquêtes conditions travail climat social rémunérations Etudes postes travail compétences Référentiels emplois compétences formation Suivre budget RH structure écarts place mesures correctives oeuvre mesures réglementaires droit travail exercice syndical procédures disciplinaires licenciement payes contrats travail éléments activité personnel Négocier actions accords conventions intervenants externes services emploi écoles entreprises activités gestion personnel responsables service Diriger service structure définition orientations stratégiques entreprise Gestion budgétaire Utilisation logiciel paie politique management ressources humaines selon orientations stratégiques structure plans action Concevoir opérations gestion emplois compétences concertation dialogue social membres personnel leurs représentants conformité application obligations légales réglementaires place actions gestion administrative personnel procédures supports suivi gestion personnel structure Suivre jour informations professionnelles réglementaires Droit travail Législation sociale Gestion prévisionnelle emplois compétences GPEC Ingénierie formation Gestion Ressources Humaines Techniques management Techniques dialogue social Techniques Techniques conduite entretien Utilisation outils bureautiques traitement texte tableur Contrôler opérations gestion ressources humaines Constitution gestion fichier personnel Contrôler opérations gestion ressources humaines Déclarations obligatoires règlement cotisations sociales opérations gestion ressources humaines Gestion administrative temps travail Contrôler opérations gestion ressources humaines Gestion paie opérations gestion ressources humaines Gestion carrières Contrôler opérations gestion ressources humaines Gestion dossiers individuels salariés congés médecine travail départ retraite actions Ressources Humaines Administration personnel actions Ressources Humaines Conditions travail actions Ressources Humaines Conduite changement actions Ressources Humaines Démarche qualité actions Ressources Humaines Evolution système information RH actions Ressources Humaines Formation actions Ressources Humaines Mobilité actions Ressources Humaines Organisation relations sociales actions Ressources Humaines Rémunération actions Ressources Humaines Recrutement Bilans sociaux Enquêtes conditions travail climat social rémunérations Etudes postes travail compétences Référentiels emplois compétences formation Suivre budget RH structure écarts place mesures correctives oeuvre mesures réglementaires droit travail exercice syndical procédures disciplinaires licenciement payes contrats travail éléments activité personnel Négocier actions accords conventions intervenants externes services emploi écoles entreprises activités gestion personnel responsables service Diriger service structure définition orientations stratégiques entreprise Gestion budgétaire Utilisation logiciel paie Conseil organisation management entreprise M1502 Développement ressources humaines K2111 Formation professionnelle M1205 Direction administrative financière M1301 Direction grande entreprise établissement public M1302 Direction petite moyenne entreprise,98,0,-0.20711640946403956,-0.17315955925028942
M16 - Secrétariat et assistance (9),M1601 - Accueil et renseignements,Agent / Agente d'accueil;Agent / Agente d'information;Chargé / Chargée d'accueil;Chef hôte / hôtesse d'accueil;Employé / Employée d'accueil;Hôte / Hôtesse;Hôte / Hôtesse d'accueil;Hôte / Hôtesse d'accueil standardiste;Standardiste;Steward / Hôtesse au sol,personnes leur demande appels téléphoniques vers interlocuteurs messages Renseigner personnes vers interlocuteur service lieu accès circulation personnes sein structure sites locaux affichage informations plaquettes publicitaires disposition visiteurs Modalités accueil Techniques communication Règles consignes sécurité Techniques prévention gestion conflits Veille documentaire Utilisation système information communication jour données informatique création badge inscription registre rapport appels téléphoniques opérations reprographie frappe forme document enregistrement tri affranchissement courrier Conseiller interlocuteur démarches administratives organisation vie Coordonner activité équipe Méthodes classement archivage Utilisation outils bureautiques traitement texte tableur Utilisation machine personnes leur demande appels téléphoniques vers interlocuteurs messages Renseigner personnes vers interlocuteur service lieu accès circulation personnes sein structure sites locaux affichage informations plaquettes publicitaires disposition visiteurs Modalités accueil Techniques communication Règles consignes sécurité Techniques prévention gestion conflits Veille documentaire Utilisation système information communication jour données informatique création badge inscription registre rapport appels téléphoniques opérations reprographie frappe forme document enregistrement tri affranchissement courrier Conseiller interlocuteur démarches administratives organisation vie Coordonner activité équipe Méthodes classement archivage Utilisation outils bureautiques traitement texte tableur Utilisation machine G1101 Accueil touristique G1205 Personnel attractions structures loisirs M1401 Conduite enquêtes M1602 Opérations administratives M1606 données C1201 Accueil services bancaires Téléconseil télévente G1703 Réception hôtellerie K1205 Information sociale M1607 Secrétariat N2101 Navigation commerciale aérienne,49,3,0.0012954457960393973,0.40032967578615175
M16 - Secrétariat et assistance (9),M1602 - Opérations administratives,Agent administratif / Agente administrative;Employé / Employée aux archives;Employé / Employée de bureau;Employé administratif / Employée administrative,enregistrement tri affranchissement courrier opérations saisie courrier tableaux selon consignes dossiers administratifs données leur mise jour retours relances Techniques prise notes Techniques écriture rapide Utilisation outils bureautiques traitement texte tableur personnes leur demande indexation classement archivage documents Suivre état stocks besoins commandes travaux reprographie appels téléphoniques vers interlocuteurs messages Méthodes classement archivage enregistrement tri affranchissement courrier opérations saisie courrier tableaux selon consignes dossiers administratifs données leur mise jour retours relances Techniques prise notes Techniques écriture rapide Utilisation outils bureautiques traitement texte tableur personnes leur demande indexation classement archivage documents Suivre état stocks besoins commandes travaux reprographie appels téléphoniques vers interlocuteurs messages Méthodes classement archivage E1307 Reprographie M1601 Accueil renseignements M1606 données C1401 Gestion banque assurance M1607 Secrétariat,29,1,-0.12484460252336523,0.5929285315246038
M16 - Secrétariat et assistance (9),M1603 - Distribution de documents,Agent / Agente de liaison externe;Agent / Agente du service de courrier interne;Agent distributeur / Agente distributrice;Agent distributeur / Agente distributrice d'imprimés;Approvisionneur / Approvisionneuse points de distribution;Chef d'équipe distributeur / distributrice d'imprimés;Distributeur / Distributrice d'annuaires;Distributeur / Distributrice d'imprimés publicitaires;Distributeur / Distributrice de journaux;Distributeur / Distributrice de magazines;Distributeur / Distributrice de messagerie;Distributeur / Distributrice de plis non adressés;Distributeur / Distributrice de prospectus;Distributeur / Distributrice de prospectus et imprimés;Distributeur / Distributrice de publicité et journaux;Employé / Employée au courrier;Facteur / Factrice;Superviseur / Superviseuse de distributeurs d'imprimés;Vaguemestre,plan distribution itinéraire points placement Trier catalogues courrier imprimés journaux selon destinataires Distribuer documents selon consignes diffusion boîtes lettres points fixes passants éléments non service concerné nombre prospectus difficultés supports suivi Gestes postures manutention Techniques encartage Lecture plan urbain Comptage Distribuer documents A points fixes sorties magasins gares Distribuer documents boîtes lettres Distribuer documents tournées définies présentoirs véhicule Remettre lettres colis destinataire après vérification identité avis passage Délivrer numéraire mandat montant envoi contre remboursement ventes correspondance courrier auprès services internes entreprises boîtes lettres opérations expédition réalisation programme distribution couverture secteur positionnement distributeurs ciblage public Coordonner activité équipe Procédures vérification identité Réglementation plis spécifiques Procédures Organisation planification tournée plan distribution itinéraire points placement Trier catalogues courrier imprimés journaux selon destinataires Distribuer documents selon consignes diffusion boîtes lettres points fixes passants éléments non service concerné nombre prospectus difficultés supports suivi Gestes postures manutention Techniques encartage Lecture plan urbain Comptage Distribuer documents A points fixes sorties magasins gares Distribuer documents boîtes lettres Distribuer documents tournées définies présentoirs véhicule Remettre lettres colis destinataire après vérification identité avis passage Délivrer numéraire mandat montant envoi contre remboursement ventes correspondance courrier auprès services internes entreprises boîtes lettres opérations expédition réalisation programme distribution couverture secteur positionnement distributeurs ciblage public Coordonner activité équipe Procédures vérification identité Réglementation plis spécifiques Procédures Organisation planification tournée D1501 Animation vente E1304 Façonnage routage G1702 Personnel hall H3302 Opérations manuelles assemblage tri emballage N1103 Magasinage préparation commandes N4104 Courses livraisons express M1401 Conduite enquêtes M1606 données N4105 Conduite livraison courte distance,51,0,-0.02272346778814416,0.1281333191848925
M16 - Secrétariat et assistance (9),M1604 - Assistanat de direction,Assistant / Assistante de direction;Assistant / Assistante de direction bilingue;Assistant / Assistante de direction trilingue;Assistant / Assistante de manager;Attaché / Attachée de direction;Office manager;Secrétaire de direction;Secrétaire de direction bilingue;Secrétaire de direction trilingue,rendez vous planning responsable collaborateur appels accueils physiques Concevoir courriers rapports notes décisions notes service contrats interne externe déplacements responsable membres équipe réunions convocations préparation dossiers réservation salles Effectuer frappe documents traitement courrier gestion messages électroniques Techniques secrétariat Méthodes classement archivage Modalités accueil Techniques prise notes Sténographie Normes rédactionnelles Techniques gestion administrative Utilisation outils bureautiques traitement texte tableur Instruire dossiers professionnels constitution synthèse jour outils suivi activité structure tableaux bord jour informations professionnelles réglementaires archivage classement documents Planifier opérations communication manifestations évènementielles suivi administratif dossiers personnel logistique recrutements formations commandes matériel fournitures consommables conformité livraisons Organiser conditions exécution contrats maintenance bureautique contrôles techniques véhicules Coordonner activité équipe Eléments base droit travail Veille documentaire rendez vous planning responsable collaborateur appels accueils physiques Concevoir courriers rapports notes décisions notes service contrats interne externe déplacements responsable membres équipe réunions convocations préparation dossiers réservation salles Effectuer frappe documents traitement courrier gestion messages électroniques Techniques secrétariat Méthodes classement archivage Modalités accueil Techniques prise notes Sténographie Normes rédactionnelles Techniques gestion administrative Utilisation outils bureautiques traitement texte tableur Instruire dossiers professionnels constitution synthèse jour outils suivi activité structure tableaux bord jour informations professionnelles réglementaires archivage classement documents Planifier opérations communication manifestations évènementielles suivi administratif dossiers personnel logistique recrutements formations commandes matériel fournitures consommables conformité livraisons Organiser conditions exécution contrats maintenance bureautique contrôles techniques véhicules Coordonner activité équipe Eléments base droit travail Veille documentaire D1401 Assistanat commercial M1605 Assistanat technique administratif Formation professionnelle M1501 Assistanat ressources humaines,52,0,-0.20970612494056057,0.4156448221389431
M16 - Secrétariat et assistance (9),M1605 - Assistanat technique et administratif,Assistant / Assistante chef de projet;Assistant / Assistante de gestion administrative;Assistant / Assistante de gestion d'entreprise;Assistant / Assistante qualité services;Assistant administratif/Assistante administrative de projet;Chargé / Chargée de voyages en entreprise;Secrétaire technique;Secrétaire technique bureau d'études;Technicien / Technicienne de gestion administrative,lancement appels offres annonces officielles suivi candidatures dossiers candidature entreprise appel offres suivi Concevoir outils suivi activité structure moyen tableaux bord échéanciers réunions groupe projet structure comptes Renseigner clients commanditaires avancée leur dossier procès verbaux état avancement échéanciers Effectuer suivi comptable budgétaire entité opérations facturation déblocage fonds relance financeurs saisie écritures comptables Saisir forme documents transmettre Procédures appel offres Réglementation marchés publics Gestion budgétaire Normes rédactionnelles Utilisation outils bureautiques traitement texte tableur Utilisation logiciels gestion comptable déplacements responsable membres équipe indexation classement archivage documents recherches documentaires transmettre Décliner oeuvre démarche plan action qualité corrections amélioration conformité personnels démarche qualité documents techniques plans maquettes fiches techniques ingénieur lors travaux laboratoire préparation matériel relevé résultat gestion suivi commandes cours stocks retours produits visites chantier avancée travaux Méthodes classement archivage Dispositifs assurance qualité Techniques communication Veille documentaire Utilisation logiciels Conception Dessin Ordinateur CAO DAO lancement appels offres annonces officielles suivi candidatures dossiers candidature entreprise appel offres suivi Concevoir outils suivi activité structure moyen tableaux bord échéanciers réunions groupe projet structure comptes Renseigner clients commanditaires avancée leur dossier procès verbaux état avancement échéanciers Effectuer suivi comptable budgétaire entité opérations facturation déblocage fonds relance financeurs saisie écritures comptables Saisir forme documents transmettre Procédures appel offres Réglementation marchés publics Gestion budgétaire Normes rédactionnelles Utilisation outils bureautiques traitement texte tableur Utilisation logiciels gestion comptable déplacements responsable membres équipe indexation classement archivage documents recherches documentaires transmettre Décliner oeuvre démarche plan action qualité corrections amélioration conformité personnels démarche qualité documents techniques plans maquettes fiches techniques ingénieur lors travaux laboratoire préparation matériel relevé résultat gestion suivi commandes cours stocks retours produits visites chantier avancée travaux Méthodes classement archivage Dispositifs assurance qualité Techniques communication Veille documentaire Utilisation logiciels Conception Dessin Ordinateur CAO DAO D1401 Assistanat commercial M1604 Assistanat direction C1502 Gestion locative immobilière C1502 Gestion locative immobilière H1207 Rédaction technique Formation professionnelle,60,3,-0.1492429962102449,0.302770256858072
M16 - Secrétariat et assistance (9),M1606 - Saisie de données,Agent / Agente de saisie;Agent / Agente de traitement de texte;Opérateur / Opératrice de numérisation de documents;Opérateur / Opératrice de saisie;Opérateur / Opératrice de traitement de texte,documents vérifier s consignes délai nombre Saisir documents textes manuscrits chèques notes sous dictée intégralement propos réunion lors conférences séances forme textes données erreurs Techniques prise notes Techniques écriture rapide Sténographie Dactylographie Utilisation logiciels transcription Utilisation outils bureautiques traitement texte tableur Utilisation sténotype enregistrement données Numérisation document enregistrement données masse enregistrement données Scannérisation document comptes réunion commanditaire indexation classement archivage documents travaux reprographie Coordonner activité équipe Techniques numérisation Méthodes classement archivage documents vérifier s consignes délai nombre Saisir documents textes manuscrits chèques notes sous dictée intégralement propos réunion lors conférences séances forme textes données erreurs Techniques prise notes Techniques écriture rapide Sténographie Dactylographie Utilisation logiciels transcription Utilisation outils bureautiques traitement texte tableur Utilisation sténotype enregistrement données Numérisation document enregistrement données masse enregistrement données Scannérisation document comptes réunion commanditaire indexation classement archivage documents travaux reprographie Coordonner activité équipe Techniques numérisation Méthodes classement archivage M1601 Accueil renseignements M1602 Opérations administratives C1401 Gestion banque assurance D1505 Personnel caisse E1307 Reprographie M1401 Conduite enquêtes M1607 Secrétariat,49,3,-0.07791234247887291,0.45459630645794924
M16 - Secrétariat et assistance (9),M1607 - Secrétariat,Assistant administratif / Assistante administrative;Secrétaire;Secrétaire administratif / administrative;Secrétaire bilingue;Secrétaire bureautique;Secrétaire juridique;Secrétaire polyvalent / polyvalente;Secrétaire trilingue;Technicien / Technicienne en secrétariat;Télésecrétaire,clients fournisseurs visiteurs messages rendez vous tri distribution enregistrement courrier gestion messages électroniques Saisir forme documents transmettre déplacements responsable membres équipe Suivre état stocks besoins commandes Modalités accueil Techniques prise notes Techniques écriture rapide Sténographie Règles affranchissement courrier Utilisation outils bureautiques traitement texte tableur jour données suivi activité structure tableaux bord tableaux résultats Suivre exécution contrats maintenance équipements structure Indexer dossiers professionnels comptes rendus séance Préparer mise jour dossiers professionnels fichiers clients Saisir forme documents juridiques contrats procès verbaux jugements suivi administratif dossiers personnel logistique recrutements formations gestion comptable administrative structure Coordonner activité équipe Terminologie juridique Normes rédactionnelles Eléments base droit commercial Eléments base droit travail Eléments base comptabilité dictaphone Utilisation logiciels gestion comptable clients fournisseurs visiteurs messages rendez vous tri distribution enregistrement courrier gestion messages électroniques Saisir forme documents transmettre déplacements responsable membres équipe Suivre état stocks besoins commandes Modalités accueil Techniques prise notes Techniques écriture rapide Sténographie Règles affranchissement courrier Utilisation outils bureautiques traitement texte tableur jour données suivi activité structure tableaux bord tableaux résultats Suivre exécution contrats maintenance équipements structure Indexer dossiers professionnels comptes rendus séance Préparer mise jour dossiers professionnels fichiers clients Saisir forme documents juridiques contrats procès verbaux jugements suivi administratif dossiers personnel logistique recrutements formations gestion comptable administrative structure Coordonner activité équipe Terminologie juridique Normes rédactionnelles Eléments base droit commercial Eléments base droit travail Eléments base comptabilité dictaphone Utilisation logiciels gestion comptable D1401 Assistanat commercial C1502 Gestion locative immobilière C1502 Gestion locative immobilière K1902 Collaboration juridique Formation professionnelle M1604 Assistanat direction M1605 Assistanat technique administratif M1608 Secrétariat comptable M1609 Secrétariat assistanat médical,61,3,-0.27230967650305765,0.39565214481113004
M16 - Secrétariat et assistance (9),M1608 - Secrétariat comptable,Secrétaire comptable,accueil téléphonique réception clients données comptabilité générale écritures comptables Renseigner déclarations fiscales Taxe Valeur Ajoutée TVA Déclarations sociales Suivre éléments trésorerie structure rapprochement bancaire vérification frais généraux factures documents commerciaux opérations recouvrement suivi paiements relance impayés recherches documentaires lien activité structure service Saisir forme documents transmettre Comptabilité générale Comptabilité publique Gestion administrative personnel Techniques secrétariat Modalités accueil Utilisation logiciels gestion comptable Utilisation outils bureautiques traitement texte tableur Concevoir outils suivi activité structure tableaux bord jour éléments activité personnel éléments paie indexation classement archivage documents tri distribution enregistrement courrier gestion messages électroniques Suivre état stocks besoins commandes Méthodes classement archivage Règles gestion stocks accueil téléphonique réception clients données comptabilité générale écritures comptables Renseigner déclarations fiscales Taxe Valeur Ajoutée TVA Déclarations sociales Suivre éléments trésorerie structure rapprochement bancaire vérification frais généraux factures documents commerciaux opérations recouvrement suivi paiements relance impayés recherches documentaires lien activité structure service Saisir forme documents transmettre Comptabilité générale Comptabilité publique Gestion administrative personnel Techniques secrétariat Modalités accueil Utilisation logiciels gestion comptable Utilisation outils bureautiques traitement texte tableur Concevoir outils suivi activité structure tableaux bord jour éléments activité personnel éléments paie indexation classement archivage documents tri distribution enregistrement courrier gestion messages électroniques Suivre état stocks besoins commandes Méthodes classement archivage Règles gestion stocks M1607 Secrétariat C1401 Gestion banque assurance Encadrement personnel caisses Assistance direction hôtel Contrôle inspection impôts Formation professionnelle M1203 Comptabilité M1501 Assistanat ressources humaines M1605 Assistanat technique administratif,51,0,-0.32549528782409254,0.3352211843696367
M16 - Secrétariat et assistance (9),M1609 - Secrétariat et assistanat médical,Assistant médico-administratif / Assistante médico-administrative;Secrétaire Documentaliste Médicale;Secrétaire médical / médicale;Secrétaire médical / médicale vétérinaire,patients déroulement examen taux prise charge dossier médical patient jour chaque visite changement situation jour planning activité structure agenda médecin Saisir forme comptes actes opératoires médicaux patients médecins référents patient lors démarches administratives constitution dossiers remplissage formulaires instances police presse locale coordonnées personnels médicaux astreinte garde Terminologie médicale Nomenclature actes médicaux Modalités accueil Mode prise charge actes médicaux Normes rédactionnelles Méthodes classement archivage dictaphone Utilisation outils bureautiques traitement texte tableur enregistrement tri affranchissement courrier Organiser gestion documentation veille documentaire informations médico administratives relatives activité médicale établissement conformité codage données traitement administratif appels offres émission annonces officielles candidatures opérations gestion comptable budgétaire structure facturation actes médicaux déclaration auprès organismes sécurité sociale mutuelles Suivre état stocks besoins commandes Coordonner activité équipe Grille codification Sécurité Sociale Eléments base gestion comptable Règles gestion stocks patients déroulement examen taux prise charge dossier médical patient jour chaque visite changement situation jour planning activité structure agenda médecin Saisir forme comptes actes opératoires médicaux patients médecins référents patient lors démarches administratives constitution dossiers remplissage formulaires instances police presse locale coordonnées personnels médicaux astreinte garde Terminologie médicale Nomenclature actes médicaux Modalités accueil Mode prise charge actes médicaux Normes rédactionnelles Méthodes classement archivage dictaphone Utilisation outils bureautiques traitement texte tableur enregistrement tri affranchissement courrier Organiser gestion documentation veille documentaire informations médico administratives relatives activité médicale établissement conformité codage données traitement administratif appels offres émission annonces officielles candidatures opérations gestion comptable budgétaire structure facturation actes médicaux déclaration auprès organismes sécurité sociale mutuelles Suivre état stocks besoins commandes Coordonner activité équipe Grille codification Sécurité Sociale Eléments base gestion comptable Règles gestion stocks J1303 Assistance médico technique M1607 Secrétariat D1405 Conseil information médicale K1205 Information sociale Formation professionnelle M1608 Secrétariat comptable,56,3,-0.10605424869419475,0.28520955548290133
